Baccalaureate Institution,Current Institution,Field of Study,Year,Status
University of Kentucky,University of Kentucky,Engineering - Mechanical,2014,mention
University of Pittsburgh,University of Pennsylvania,Life Sciences - Neurosciences,2014,mention
UNIVERSITY OF CALIFORNIA BERKELEY,University of California-Davis,Geosciences - Climate and Large-Scale Atmospheric Dynamics,2014,mention
Carnegie-Mellon University,University of Chicago,Life Sciences - Developmental Biology,2014,mention
UNIVERSITY OF MASSACHUSETTS AMHERST,University of Minnesota- Twin Cities,Engineering - Chemical Engineering,2014,mention
University of Chicago,California Institute of Technology,Geosciences - Geochemistry,2014,mention
Indiana University,SUNY at Buffalo,Mathematical Sciences - Biostatistics,2014,mention
Indiana University of Pennsylvania,Southern Methodist University,Social Sciences - Medical Anthropology,2014,mention
George Fox University,University of California-San Francisco,Life Sciences - Biophysics,2014,mention
University of Utah,University of Utah,Engineering - Biomedical,2014,mention
Brown University,Brown University,Engineering - Mechanical,2014,mention
Cornell University,Undecided,Life Sciences - Ecology,2014,mention
Wake Forest University,University of Massachusetts Amherst,Comp/IS/Eng - other (specify) - Artificial Intelligence,2014,mention
Pennsylvania State Univ University Park,Northwestern University,Psychology - Psycholinguistics,2014,mention
University of Houston,Rice University,Social Sciences - Sociology  (except Social Work),2014,mention
University of San Diego,Oregon State University,Geosciences - Marine Biology,2014,mention
Boston University,SUNY College of Environmental Science and Forestry,Life Sciences - Ecology,2014,mention
College of Charleston,University of Texas at Arlington,Life Sciences - Ecology,2014,mention
University of California-Berkeley,University of California-Los Angeles,STEM Education and Learning Research - Mathematics Education,2014,mention
University of Akron,Pennsylvania State Univ University Park,Social Sciences - Sociology  (except Social Work),2014,mention
Dartmouth College,Duke University,Comp/IS/Eng - Machine Learning,2014,mention
University of Pennsylvania,University of Pennsylvania,Engineering - Biomedical,2014,mention
UNIVERSITY OF MICHIGAN,University of Texas at Austin,Engineering - Biomedical,2014,mention
Cornell University,Carnegie-Mellon University,Engineering - Electrical and Electronic,2014,mention
Rutgers University New Brunswick,Johns Hopkins University,Engineering - Biomedical,2014,mention
University of Chicago,University of Chicago,"Mathematical Sciences - Algebra, Number Theory, and Combinatorics",2014,mention
University of Michigan Ann Arbor,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,"Chemistry - Macromolecular, Supramolecular, and Nanochemistry",2014,mention
St. John Fisher College,University of Rochester,Psychology - Cognitive Neuroscience,2014,mention
Washington University,Northwestern University,Engineering - Bioengineering,2014,mention
University of Florida,Georgia Institute of Technology,Engineering - Bioengineering,2014,mention
University of California-Los Angeles,UNIVERSITY OF MICHIGAN,Psychology - Developmental,2014,mention
University of California-San Diego,Cornell University,Engineering - Biomedical,2014,mention
University of South Carolina at Columbia,University of South Carolina at Columbia,Engineering - Chemical Engineering,2014,mention
University of California-Los Angeles,University of California-Irvine,Psychology - Cognitive Neuroscience,2014,mention
University of California-Berkeley,University of California-Berkeley,Physics and Astronomy - Astronomy and Astrophysics,2014,mention
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,Northwestern University,Engineering - Electrical and Electronic,2014,mention
Davidson College,Harvard University,Life Sciences - Cell Biology,2014,mention
Iowa State University,Iowa State University,Engineering - Materials,2014,mention
California Institute of Technology,Stanford University,Life Sciences - other (specify) - Immunology,2014,mention
University of North Carolina at Chapel Hill,University of California-Berkeley,Chemistry - Chemistry of Life Processes,2014,mention
Ohio State University,Ohio State University,Engineering - Biomedical,2014,mention
McGill University,Princeton University,Life Sciences - Molecular Biology,2014,mention
Cornell University,University of California-San Francisco,Life Sciences - Biochemistry,2014,mention
Harvard University,Harvard University,Life Sciences - Molecular Biology,2014,mention
Michigan State University,Duke University,Life Sciences - Developmental Biology,2014,mention
Boston College,Boston College,Mathematical Sciences - Applied Mathematics,2014,mention
UNIVERSITY OF MARYLAND,UNIVERSITY OF MARYLAND,Physics and Astronomy - Theoretical Physics,2014,mention
Washington University,Harvard University,Life Sciences - Genomics,2014,mention
Montana State University,University of Wisconsin-Madison,Chemistry - Chemical Synthesis,2014,mention
University of Pittsburgh,University of Pittsburgh,Life Sciences - Neurosciences,2014,mention
University of California-Davis,University of California-Davis,Engineering - Biomedical,2014,mention
Occidental College,Undecided,Life Sciences - Genomics,2014,mention
Yale University,University of California-Santa Barbara,Physics and Astronomy - Condensed Matter Physics,2014,mention
Northwestern University,Yale University,Engineering - Environmental,2014,mention
South Dakota State University,"University of London, King's College",Life Sciences - Molecular Biology,2014,mention
University of Georgia,University of Texas at Austin,Life Sciences - Evolutionary Biology,2014,mention
University of Florida,UNIVERSITY OF CALIFORNIA BERKELEY,Physics and Astronomy - Condensed Matter Physics,2014,mention
Cornell University,Harvard University,Life Sciences - Ecology,2014,mention
Rutgers University New Brunswick,Johns Hopkins University,Engineering - Biomedical,2014,mention
University of Chicago,University of California-San Diego,Life Sciences - Neurosciences,2014,mention
Boston University,University of California-San Diego,Life Sciences - Neurosciences,2014,mention
Franklin and Marshall College,University of California-Irvine,Physics and Astronomy - other (specify) - Chemical and Materials Physics (ChaMP-,2014,mention
Oregon State University,Duke University,Engineering - Biomedical,2014,mention
Case Western Reserve University,Washington University,Engineering - Biomedical,2014,mention
University of Rhode Island,University of California-Berkeley,Chemistry - Chemical Measurement and Imaging,2014,mention
California State University Channel Islands,California State University Channel Islands,Chemistry - Chemical Synthesis,2014,mention
Ithaca College,University of California-San Francisco,Life Sciences - Neurosciences,2014,mention
Utah State University,Utah State University,Engineering - Materials,2014,mention
University of Illinois at Urbana-Champaign,Northwestern University,Life Sciences - Neurosciences,2014,mention
UNIVERSITY OF CALIFORNIA BERKELEY,University of Texas at Austin,Engineering - Environmental,2014,mention
University of California-Riverside,University of California-Riverside,Chemistry - Chemical Synthesis,2014,mention
Boston College,University of California-Irvine,Chemistry - Chemical Synthesis,2014,mention
Bard College,Northeastern University,Psychology - Social,2014,mention
University of Rochester,University of Washington,Chemistry - Chemical Catalysis,2014,mention
Harvard University,College of William & Mary Virginia Institute of Marine Science,Life Sciences - other (specify) - Marine Science,2014,mention
Cornell University,University of Michigan Ann Arbor,Materials Research - Polymers,2014,mention
Harvard University,Undecided,Comp/IS/Eng - Computer and Information Security,2014,mention
University of Notre Dame,Arizona State University,Psychology - Quantitative,2014,mention
University of California-Davis,University of California-Berkeley,Psychology - Social,2014,mention
University of Tennessee Knoxville,Texas A&M University Main Campus,Psychology - Physiological,2014,mention
Rutgers University New Brunswick,Rutgers University New Brunswick,"Chemistry - Macromolecular, Supramolecular, and Nanochemistry",2014,mention
University of Miami,University of California-Irvine,Social Sciences - other (specify) - Social Ecology,2014,mention
University of Pittsburgh,Undecided,Life Sciences - Ecology,2014,mention
University of Washington,Stanford University School of Medicine,Life Sciences - Biochemistry,2014,mention
New York University,Harvard University School of Public Health,Social Sciences - Public Policy,2014,mention
Wright State University,Rensselaer Polytechnic Institute,Engineering - Biomedical,2014,mention
University of California-Los Angeles,University of California-Los Angeles,Engineering - Computer Engineering,2014,mention
UNIVERSITY OF CALIFORNIA BERKELEY,UNIVERSITY OF CALIFORNIA BERKELEY,Comp/IS/Eng - Algorithms and Theoretical Foundations,2014,mention
William Marsh Rice University,University of California-Irvine,Psychology - Social,2014,mention
University of Georgia,Princeton University,Life Sciences - Molecular Biology,2014,mention
New York University,University of Pittsburgh,Life Sciences - Ecology,2014,mention
SUNY Potsdam,UNIVERSITY OF CALIFORNIA BERKELEY,Life Sciences - Microbiology,2014,mention
Cornell University,Oregon State University,Geosciences - Geobiology,2014,mention
University of North Carolina at Chapel Hill,Yale University,Life Sciences - Biochemistry,2014,mention
Furman University,UNIVERSITY OF ILLINOIS,Chemistry - Chemical Measurement and Imaging,2014,mention
University of Washington,University of Wisconsin-Madison,Social Sciences - Geography,2014,mention
Lewis & Clark College,University of Washington,"Physics and Astronomy - Atomic, Molecular and Optical Physics",2014,mention
University of Utah,University of Utah,Engineering - Mechanical,2014,mention
University of Delaware,University of California-Berkeley,Engineering - Mechanical,2014,mention
New York University,Undecided,Social Sciences - Economics (except Business Administration),2014,mention
Nebraska Wesleyan University,Kansas State University,Life Sciences - Developmental Biology,2014,mention
Occidental College,University of Arizona,Life Sciences - Evolutionary Biology,2014,mention
CORNELL UNIVERSITY,Yale University,Life Sciences - Neurosciences,2014,mention
Saint Olaf College,Saint Olaf College,Mathematical Sciences - Biostatistics,2014,mention
University of Michigan Ann Arbor,University of Michigan Ann Arbor,Engineering - other (specify) - Naval Architecture and Marine Engineering,2014,mention
Vanderbilt University,University of Georgia,Life Sciences - Genetics,2014,mention
Earlham College,University of Rochester,Life Sciences - Cell Biology,2014,mention
Kenyon College,UNIVERSITY OF CALIFORNIA BERKELEY,Social Sciences - Sociology  (except Social Work),2014,mention
SUNY at Stony Brook,SUNY at Stony Brook,Life Sciences - Genetics,2014,mention
San Francisco State University,University of Michigan Ann Arbor,Psychology - Social,2014,mention
University of Pittsburgh,University of Pittsburgh,Engineering - Bioengineering,2014,mention
Lehigh University,University of Colorado at Boulder,Psychology - Social,2014,mention
Boston University,Harvard University,Life Sciences - Neurosciences,2014,mention
North Carolina State University,North Carolina State University,Life Sciences - Microbiology,2014,mention
CUNY Herbert H Lehman College,SUNY at Stony Brook,"Physics and Astronomy - Atomic, Molecular and Optical Physics",2014,mention
University of California-Davis,University of California-Davis,Engineering - Bioengineering,2014,mention
Cornell University,University of California-Berkeley,Engineering - Environmental,2014,mention
SUNY at Binghamton,CORNELL UNIVERSITY,Engineering - Biomedical,2014,mention
University of San Francisco,University of Southern California,Engineering - Materials,2014,mention
Brown University,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,Engineering - Mechanical,2014,mention
Carnegie-Mellon University,University of Maryland,Psychology - Developmental,2014,mention
University of Colorado at Boulder,University of Washington,Life Sciences - Evolutionary Biology,2014,mention
Carnegie-Mellon University,University of California-Irvine,Comp/IS/Eng - Human Computer Interaction,2014,mention
Northeastern University,Northeastern University,Life Sciences - Molecular Biology,2014,mention
Seattle Pacific University,University of Oregon Eugene,Life Sciences - Biochemistry,2014,mention
University of Washington,Undecided,Life Sciences - Ecology,2014,mention
Rutgers University New Brunswick,Rutgers University New Brunswick,Life Sciences - Neurosciences,2014,mention
Georgia Institute of Technology,Massachusetts Institute of Technology,Materials Research - Polymers,2014,mention
Valparaiso University,University of Georgia,Social Sciences - Cultural Anthropology,2014,mention
University of California-Berkeley,Columbia University,"Chemistry - Macromolecular, Supramolecular, and Nanochemistry",2014,mention
University of Texas at Austin,Carnegie-Mellon University,Engineering - Energy,2014,mention
Sonoma State University,Oregon State University,Life Sciences - Ecology,2014,mention
Johns Hopkins University,Case Western Reserve University,Engineering - Biomedical,2014,mention
Columbia University,California Institute of Technology,Chemistry - Chemical Synthesis,2014,mention
Franklin and Marshall College,Arizona State University,Life Sciences - Environmental Sciences,2014,mention
University of Texas at Dallas,University of Texas Southwestern Medical Center at Dallas,Life Sciences - other (specify) - Immunology,2014,mention
Florida Atlantic University,Florida Atlantic University,Geosciences - Marine Geology and Geophysics,2014,mention
United States Military Academy,United States Military Academy,Comp/IS/Eng - Data Mining and Information Retrieval,2014,mention
Colgate University,University of Notre Dame,Life Sciences - Ecology,2014,mention
University of Utah,University of Utah,Engineering - Bioengineering,2014,mention
University of Arizona,University of Arizona,"Chemistry - Macromolecular, Supramolecular, and Nanochemistry",2014,mention
University of Missouri-Columbia,Oregon State University,Life Sciences - Ecology,2014,mention
Kenyon College,University of Minnesota- Twin Cities,Life Sciences - Ecology,2014,mention
Arizona State University,Arizona State University,Engineering - Civil Engineering,2014,mention
Hamilton College,Pennsylvania State Univ University Park,Social Sciences - Geography,2014,mention
VIRGINIA POLYTECH INST AND STATE UN,University of Texas at Austin,Engineering - Biomedical,2014,mention
University of Notre Dame,Texas A&M University Main Campus,Engineering - Aeronautical and Aerospace,2014,mention
Texas A&M University Main Campus,Texas A&M University Main Campus,Engineering - Aeronautical and Aerospace,2014,mention
University of Texas at Austin,University of Texas at Austin,Life Sciences - Organismal Biology,2014,mention
University of Florida,University of Arizona,Geosciences - Sedimentary Geology,2014,mention
University of Nevada Las Vegas,University of Missouri-Columbia,Psychology - Personality and Individual Differences,2014,mention
University of Iowa,Undecided,Engineering - Mechanical,2014,mention
College of Wooster,College of Wooster,Chemistry - Chemistry of Life Processes,2014,mention
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,UNIVERSITY OF MICHIGAN,Engineering - Aeronautical and Aerospace,2014,mention
Dickinson College,University of Wisconsin-Madison,Geosciences - Geochemistry,2014,mention
Bowdoin College,Harvard University,Life Sciences - Biophysics,2014,mention
Kalamazoo College,University of Illinois at Urbana-Champaign,Psychology - Cognitive Neuroscience,2014,mention
Beloit College,Indiana University,Psychology - Social,2014,mention
Arizona State University,Arizona State University,Life Sciences - Ecology,2014,mention
University of Minnesota- Twin Cities,University of Minnesota- Twin Cities,"Chemistry - Chemical Structure, Dynamics, and Mechanism",2014,mention
University of Oxford,University of California-Berkeley,Social Sciences - Cultural Anthropology,2014,mention
Pomona College,Columbia University,Geosciences - Paleoclimate,2014,mention
University of Pittsburgh,University of Pittsburgh,Comp/IS/Eng - Human Computer Interaction,2014,mention
Rochester Institute of Tech,Cornell University,"Physics and Astronomy - Atomic, Molecular and Optical Physics",2014,mention
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,Northwestern University,Engineering - Chemical Engineering,2014,mention
University of Texas at Austin,Undecided,Life Sciences - Ecology,2014,mention
Hendrix College,University of California Riverside Foundation,Psychology - Personality and Individual Differences,2014,mention
Brown University,Dartmouth College,Geosciences - Paleoclimate,2014,mention
Fort Lewis College,Cornell University,Chemistry - Chemical Catalysis,2014,mention
Colorado College,University of California-Davis,Life Sciences - Ecology,2014,mention
Cornell University,UNIVERSITY OF CALIFORNIA BERKELEY,Life Sciences - Molecular Biology,2014,mention
University of Washington,Washington University,"Physics and Astronomy - Atomic, Molecular and Optical Physics",2014,mention
Indiana University,University of Washington,Chemistry - Chemical Catalysis,2014,mention
Angelo State University,William Marsh Rice University,Mathematical Sciences - Applied Mathematics,2014,mention
University of California-Los Angeles,University of Texas at Austin,Engineering - Chemical Engineering,2014,mention
Michigan State University,Michigan State University,Engineering - Energy,2014,mention
University of California-Los Angeles,University of California-Santa Barbara,Life Sciences - Evolutionary Biology,2014,mention
Valparaiso University,Northern Illinois University,Life Sciences - Ecology,2014,mention
University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign,Engineering - Systems Engineering,2014,mention
University of Washington,Colorado State University,Geosciences - Physical and Dynamic Meteorology,2014,mention
University of Wisconsin-Madison,UNIVERSITY OF CALIFORNIA BERKELEY,Engineering - Chemical Engineering,2014,mention
San Diego State University Foundation,University of Texas Southwestern Medical Center at Dallas,Life Sciences - other (specify) - Metabolism,2014,mention
University of California-Irvine,University of California-Irvine,Life Sciences - Neurosciences,2014,mention
University of California-Los Angeles,University of California-Berkeley,Life Sciences - Microbiology,2014,mention
University of Nevada- Reno,University of Alaska Fairbanks Campus,Geosciences - other (specify) - Arctic Limnology,2014,mention
University of South Carolina at Columbia,University of California-Irvine,STEM Education and Learning Research - Science Education,2014,mention
Gettysburg College,Duke University,Life Sciences - Genetics,2014,mention
Brigham Young University,Johns Hopkins University,Engineering - Biomedical,2014,mention
Catholic University of Chile,Undecided,Engineering - Energy,2014,mention
College of William and Mary,University of California-Santa Barbara,Social Sciences - Linguistics,2014,mention
Syracuse University,University of Pennsylvania,Life Sciences - Physiology,2014,mention
North Carolina State University,University of Georgia,Life Sciences - Genetics,2014,mention
University of Washington,UNIVERSITY OF CALIFORNIA BERKELEY,Life Sciences - Molecular Biology,2014,mention
College of William and Mary,University of North Carolina at Chapel Hill,"Chemistry - Macromolecular, Supramolecular, and Nanochemistry",2014,mention
Fairmont State College,Texas A&M University at Galveston,Geosciences - Marine Biology,2014,mention
University of Cincinnati Main Campus,Drexel University,Engineering - Electrical and Electronic,2014,mention
Bradley University,UNIVERSITY OF ILLINOIS,Chemistry - Chemical Synthesis,2014,mention
University of California-Davis,Syracuse University,Life Sciences - Ecology,2014,mention
University of Oklahoma Norman Campus,University of Oklahoma Norman Campus,Geosciences - Physical and Dynamic Meteorology,2014,mention
California Institute of Technology,Stanford University,Chemistry - Chemical Catalysis,2014,mention
University of Colorado at Colorado Springs,University of Colorado at Colorado Springs,Life Sciences - Evolutionary Biology,2014,mention
University of Texas at Austin,University of California-Berkeley,Engineering - Environmental,2014,mention
Dartmouth College,University of North Carolina at Chapel Hill,Geosciences - Biological Oceanography,2014,mention
University of California-Santa Cruz,Undecided,Life Sciences - Ecology,2014,mention
Oregon State University,Oregon State University,Life Sciences - Biochemistry,2014,mention
University of Washington,University of Georgia,"Mathematical Sciences - Algebra, Number Theory, and Combinatorics",2014,mention
Princeton University,Princeton University,Engineering - other (specify) - Acoustics,2014,mention
University of Wisconsin-Madison,University of Georgia,Life Sciences - Microbiology,2014,mention
University of Virginia Main Campus,Colorado State University,Life Sciences - Ecology,2014,mention
Cornell University,Yale University,Life Sciences - Neurosciences,2014,mention
Virginia Polytechnic Institute and State University,Virginia Polytechnic Institute and State University,Engineering - Mechanical,2014,mention
University of Washington,Stanford University,Engineering - Chemical Engineering,2014,mention
University of Maryland College Park,Washington University,Engineering - Chemical Engineering,2014,mention
Rutgers University New Brunswick,Ohio State University,Physics and Astronomy - Astronomy and Astrophysics,2014,mention
University of Illinois at Urbana-Champaign,University of Colorado at Boulder,Engineering - Aeronautical and Aerospace,2014,mention
Houghton College,Vanderbilt University,Life Sciences - Structural Biology,2014,mention
San Diego State University,San Diego State University,Life Sciences - Structural Biology,2014,mention
UNIVERSITY OF CALIFORNIA BERKELEY,University of California-San Diego,Chemistry - Chemical Synthesis,2014,mention
University of California-Irvine,Johns Hopkins University,Life Sciences - Biophysics,2014,mention
Reed College,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,"Mathematical Sciences - Algebra, Number Theory, and Combinatorics",2014,mention
California Institute of Technology,California Institute of Technology,Physics and Astronomy - Theoretical Physics,2014,mention
Princeton University,Stanford University,Social Sciences - Sociology  (except Social Work),2014,mention
University of California-Davis,University of California-Davis,Geosciences - Biogeochemistry,2014,mention
Washington State University,UNIVERSITY OF ILLINOIS,Engineering - Electrical and Electronic,2014,mention
Williams College,University of Southern California,Social Sciences - Sociology  (except Social Work),2014,mention
Hendrix College,Undecided,Psychology - Cognitive Neuroscience,2014,mention
University of Michigan Ann Arbor,University of California-San Francisco,Life Sciences - Biochemistry,2014,mention
University of California-San Diego,University of California-Irvine,Engineering - Biomedical,2014,mention
Northwestern University,Northwestern University,Psychology - Personality and Individual Differences,2014,mention
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,Stanford University,Life Sciences - Biophysics,2014,mention
University of Washington,University of Southern California,Geosciences - Biological Oceanography,2014,mention
University of California-Davis,SUNY at Stony Brook,Geosciences - Biological Oceanography,2014,mention
Cornell University,Cornell University,Engineering - Biomedical,2014,mention
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,University of California-Santa Barbara,Engineering - Electrical and Electronic,2014,mention
University of Arizona,University of Arizona,Life Sciences - Biophysics,2014,mention
California Institute of Technology,California Institute of Technology,Comp/IS/Eng - Robotics and Computer Vision,2014,mention
Wayne State University,University of Michigan Ann Arbor,Engineering - Electrical and Electronic,2014,mention
University of North Florida,University of Kentucky,Life Sciences - Biochemistry,2014,mention
Saint Louis University,University of Illinois at Urbana-Champaign,Life Sciences - Biochemistry,2014,mention
Union University,Duke University,Physics and Astronomy - Theoretical Physics,2014,mention
University of California-Los Angeles,University of Washington,Social Sciences - Sociology  (except Social Work),2014,mention
Rutgers University Camden,Pennsylvania State Univ University Park,Psychology - Cognitive,2014,mention
University of Iowa,Indiana University,Life Sciences - Microbiology,2014,mention
University of Georgia,University of Georgia,Life Sciences - Evolutionary Biology,2014,mention
Pomona College,University of California-San Francisco,Life Sciences - Molecular Biology,2014,mention
Tufts University,University of Rochester,Engineering - Biomedical,2014,mention
Northeastern University,Northeastern University,Engineering - Chemical Engineering,2014,mention
Michigan State University,Harvard University,Life Sciences - Microbiology,2014,mention
Princeton University,UNIVERSITY OF MARYLAND,Life Sciences - Ecology,2014,mention
Massachusetts Institute of Technology,Johns Hopkins University,Life Sciences - Cell Biology,2014,mention
University of Florida,University of California-Santa Barbara,Engineering - Materials,2014,mention
University of California-Santa Barbara,University of California-Santa Barbara,"Physics and Astronomy - Atomic, Molecular and Optical Physics",2014,mention
Tufts University,Washington University,Comp/IS/Eng - Human Computer Interaction,2014,mention
Northwestern University,Vanderbilt University,Psychology - other (specify) - Clinical,2014,mention
Cornell University,University of Maryland College Park,Engineering - Chemical Engineering,2014,mention
University of Wisconsin-Madison,University of Wisconsin-Madison,Physics and Astronomy - Astronomy and Astrophysics,2014,mention
Pomona College,University of California-Irvine,Life Sciences - Neurosciences,2014,mention
North Dakota State University Fargo,North Dakota State University Fargo,Materials Research - Biomaterials,2014,mention
University of Notre Dame,University of Notre Dame,Mathematical Sciences - Topology,2014,mention
Michigan State University,Michigan State University,Social Sciences - Biological Anthropology,2014,mention
University of Kentucky,University of California-Santa Barbara,Materials Research - Electronic materials,2014,mention
Texas A&M University Main Campus,Cornell University,Comp/IS/Eng - Robotics and Computer Vision,2014,mention
Kenyon College,Yale University,Life Sciences - Molecular Biology,2014,mention
Arizona State University,Arizona State University,Engineering - Chemical Engineering,2014,mention
Cornell University,Carnegie-Mellon University,Engineering - Electrical and Electronic,2014,mention
Creighton University,University of Wisconsin-Madison,"Chemistry - Macromolecular, Supramolecular, and Nanochemistry",2014,mention
University of Wisconsin-Madison,Georgia Institute of Technology,Comp/IS/Eng - Human Computer Interaction,2014,mention
University of Pittsburgh,University of Pittsburgh,Psychology - Physiological,2014,mention
University of Chicago,Yale University,Life Sciences - Cell Biology,2014,mention
Oregon State University,University of Massachusetts Amherst,Engineering - Bioengineering,2014,mention
University of Pittsburgh,Carnegie Mellon University,Psychology - Cognitive,2014,mention
Barnard College,University of California-Los Angeles,Chemistry - Chemical Measurement and Imaging,2014,mention
OHIO STATE UNIVERSITY,Washington University,Life Sciences - Cell Biology,2014,mention
University of Tennessee Knoxville,Georgia Tech Research Corporation,Engineering - Energy,2014,mention
University of California-Los Angeles,University of California-Berkeley,Social Sciences - Economics (except Business Administration),2014,mention
University of California-Berkeley,University of California-Irvine,Engineering - Bioengineering,2014,mention
Whitman College,University of Minnesota- Twin Cities,Psychology - Developmental,2014,mention
Michigan State University,Undecided,STEM Education and Learning Research - Science Education,2014,mention
Butler University,Arizona State University,Life Sciences - other (specify) - Animal Behavior,2014,mention
St Mary's College of Maryland,University of California-San Francisco,Life Sciences - other (specify) - Biomedical Sciences,2014,mention
University of Chicago,University of California-Los Angeles,Psychology - Developmental,2014,mention
"University of California, San Diego",Vanderbilt University,Psychology - Developmental,2014,mention
Robert Morris University,University of Pittsburgh,Engineering - Bioengineering,2014,mention
Pennsylvania State Univ University Park,Pennsylvania State Univ University Park,Psychology - Cognitive Neuroscience,2014,mention
University of Wisconsin-Madison,University of Florida,Life Sciences - Ecology,2014,mention
University of Washington,UNIVERSITY OF CALIFORNIA BERKELEY,Life Sciences - Microbiology,2014,mention
Barnard College,UNIVERSITY OF CALIFORNIA BERKELEY,Chemistry - Chemical Synthesis,2014,mention
University of Maryland Baltimore County,Cornell University,Engineering - Chemical Engineering,2014,mention
University of Connecticut,University of Texas at Austin,Engineering - Bioengineering,2014,mention
University of California-Berkeley,University of California-Davis,Life Sciences - other (specify) - Animal Behavior,2014,mention
Appalachian State University,University of Hawaii Manoa,Geosciences - Marine Biology,2014,mention
University of Washington,University of Washington,Engineering - Bioengineering,2014,mention
College of William and Mary,North Dakota State University Fargo,Psychology - Developmental,2014,mention
Massachusetts Institute of Technology,Massachusetts Institute of Technology,Engineering - Mechanical,2014,mention
Georgia Southern University,Emory University,Life Sciences - other (specify) - Immunology and Molecular Pathogenesis,2014,mention
University of Texas at Austin,Georgia Institute of Technology,Engineering - Chemical Engineering,2014,mention
University of South Florida,University of South Florida,Social Sciences - Economics (except Business Administration),2014,mention
West Virginia University,West Virginia University,Engineering - Industrial Engineering and Operations Research,2014,mention
Yale University,Yale University,Social Sciences - Political Science,2014,mention
OHIO STATE UNIVERSITY,OHIO STATE UNIVERSITY,Engineering - Mechanical,2014,mention
Indiana University,University of California-San Diego,"Chemistry - Macromolecular, Supramolecular, and Nanochemistry",2014,mention
University of Maryland Baltimore County,University of California-Berkeley,Engineering - Bioengineering,2014,mention
Columbia University,Cornell University,Materials Research - Physics of materials,2014,mention
Fairfield University,Boston College,Psychology - Cognitive Neuroscience,2014,mention
University of Chicago,Undecided,Life Sciences - Ecology,2014,mention
Boston College,University of California-Irvine,Chemistry - Chemical Synthesis,2014,mention
Brandeis University,Brandeis University,Physics and Astronomy - Theoretical Physics,2014,mention
Princeton University,Princeton University,Mathematical Sciences - Applied Mathematics,2014,mention
Columbia University,University of Michigan Ann Arbor,Psychology - Cognitive,2014,mention
Mount Holyoke College,University of Chicago,Life Sciences - Organismal Biology,2014,mention
University of New Hampshire,Colorado State University,Life Sciences - Ecology,2014,mention
OHIO STATE UNIVERSITY,OHIO STATE UNIVERSITY,Engineering - Mechanical,2014,mention
Brown University,University of Cambridge,Mathematical Sciences - Applied Mathematics,2014,mention
University of Arizona,University of Wisconsin-Madison,Chemistry - other (specify) - Physical Chemistry,2014,mention
Oregon State University,Trustees of Boston University,Physics and Astronomy - Astronomy and Astrophysics,2014,mention
Grove City College,Washington University,Life Sciences - Genetics,2014,mention
"University of Nevada, Reno","University of Nevada, Reno",Life Sciences - Ecology,2014,mention
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,Boston University,Engineering - Biomedical,2014,mention
Harvey Mudd College,University of California-Irvine,Physics and Astronomy - other (specify) - Chemical and Material Physics,2014,mention
Duke University,Yale University,Life Sciences - Neurosciences,2014,mention
Dartmouth College,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,Psychology - Cognitive Neuroscience,2014,mention
University of Texas at Austin,University of Minnesota- Twin Cities,"Chemistry - Chemical Structure, Dynamics, and Mechanism",2014,mention
University of Connecticut,Pennsylvania State Univ University Park,Life Sciences - Ecology,2014,mention
UNIVERSITY OF CALIFORNIA BERKELEY,University of Washington,Life Sciences - Ecology,2014,mention
Tulane University,University of Virginia Main Campus,Engineering - Biomedical,2014,mention
Dartmouth College,University of Washington,Geosciences - Tectonics,2014,mention
Dartmouth College,UNIVERSITY OF CALIFORNIA BERKELEY,Life Sciences - Ecology,2014,mention
Columbia University,Ohio State University,"Chemistry - Chemical Structure, Dynamics, and Mechanism",2014,mention
University of Delaware,University of Delaware,Chemistry - Chemistry of Life Processes,2014,mention
Davidson College,Undecided,Life Sciences - Ecology,2014,mention
Indiana University,University of Wisconsin-Madison,Life Sciences - Molecular Biology,2014,mention
Duke University,Massachusetts Institute of Technology,Engineering - Mechanical,2014,mention
University of California-Irvine,University of California-Riverside,Physics and Astronomy - Astronomy and Astrophysics,2014,mention
Central Michigan University,Central Michigan University,Life Sciences - Biochemistry,2014,mention
Central Washington University,University of Washington,"Chemistry - Macromolecular, Supramolecular, and Nanochemistry",2014,mention
Brown University,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,Social Sciences - History and Philosophy of Science,2014,mention
Johns Hopkins University,University of Washington,Engineering - Bioengineering,2014,mention
University of California-Berkeley,University of California-Berkeley,Physics and Astronomy - Astronomy and Astrophysics,2014,mention
Northeastern University,Harvard University,Comp/IS/Eng - other (specify) - Programming Languages,2014,mention
University of Chicago,University of California-San Francisco,Life Sciences - Neurosciences,2014,mention
University of Utah,Washington University,Engineering - Biomedical,2014,mention
Saint John Fisher College,Cornell University,Chemistry - Chemical Measurement and Imaging,2014,mention
